,iou,month_year,constant,size_comp,size_conc,gen_q_comp,gen_q_conc,inv_q_comp,inv_q_conc,q_comp,q_conc
233,pge,2003-04-01,1,4.997,,29.0,,2.0,,31.0,
234,pge,2006-07-01,1,8.058,,42.0,,2.0,,44.0,
235,pge,2008-07-01,1,4471.801,32581.423,25911.0,205588.0,1035.0,3823.0,26946.0,209411.0
236,pge,2011-06-01,1,14203.163,91442.54699999999,69332.0,306094.0,4471.0,10224.0,73803.0,316318.0
237,pge,2010-04-01,1,4438.005999999999,27931.326,26176.0,149585.0,2170.0,8030.0,28346.0,157615.0
238,pge,2011-03-01,1,8755.036,56038.707,45633.0,252489.0,4581.0,8646.0,50214.0,261135.0
239,pge,2007-12-01,1,4768.380999999999,33727.219,28858.0,217646.0,737.0,4151.0,29595.0,221797.0
240,pge,2005-05-01,1,9.624,,50.0,,2.0,,52.0,
241,pge,2003-08-01,1,4.474,,31.0,,2.0,,33.0,
242,pge,2006-05-01,1,5.89,,38.0,,2.0,,40.0,
243,pge,2009-09-01,1,6801.866,24929.81,37025.0,154112.0,1365.0,5585.0,38390.0,159697.0
244,pge,2010-11-01,1,17403.311,61879.753000000004,89088.0,321118.0,4271.0,12314.0,93359.0,333432.0
245,pge,2005-06-01,1,3.146,,21.0,,2.0,,23.0,
246,pge,2006-01-01,1,9.364,,65.0,,3.0,,68.0,
247,pge,2008-11-01,1,6618.606,39391.421,40128.0,240907.0,595.0,4834.0,40723.0,245741.0
248,pge,2003-09-01,1,2.0,,16.0,,1.0,,17.0,
249,pge,2009-11-01,1,5945.597,24706.425,35777.0,150186.0,2098.0,7687.0,37875.0,157873.0
250,pge,2006-06-01,1,8.64,,48.0,,2.0,,50.0,
251,pge,2012-06-01,1,18022.395000000004,81142.342,72236.0,290649.0,9108.0,20603.0,81344.0,311252.0
252,pge,2012-02-01,1,29765.461000000003,88804.72499999999,37501.0,237784.0,7581.0,15235.0,45082.0,253019.0
253,pge,2006-08-01,1,29.241999999999997,,158.0,,23.0,,181.0,
254,pge,2005-10-01,1,6.341,,41.0,,6.0,,47.0,
255,pge,2004-02-01,1,6.114,,34.0,,34.0,,68.0,
256,pge,2005-07-01,1,1.068,,12.0,,1.0,,13.0,
257,pge,2008-04-01,1,4690.879999999999,30359.073,31046.0,196264.0,798.0,3891.0,31844.0,200155.0
258,pge,2011-12-01,1,27550.867000000006,103031.884,110267.0,304412.0,8078.0,16247.0,118345.0,320659.0
259,pge,2004-10-01,1,7.92,,60.0,,3.0,,63.0,
260,pge,2006-11-01,1,542.5870000000001,2534.794,2843.0,12744.0,163.0,458.0,3006.0,13202.0
261,pge,2004-03-01,1,6.075,,39.0,,2.0,,41.0,
262,pge,2005-12-01,1,10.224,,57.0,,2.0,,59.0,
263,pge,2011-10-01,1,13560.727,102925.22,61484.0,317444.0,6900.0,16510.0,68384.0,333954.0
264,pge,2004-05-01,1,8.928,,49.0,,26.0,,75.0,
265,pge,2012-08-01,1,15162.771,85654.48000000001,58575.0,304665.0,10538.0,20573.0,69113.0,325238.0
266,pge,2013-02-01,1,5910.425,41386.219,23276.0,143452.0,407.0,3040.0,23683.0,146492.0
267,pge,2003-06-01,1,18.324,,128.0,,4.0,,132.0,
268,pge,2012-12-01,1,13473.506,65283.833,56889.0,228411.0,5376.0,9164.0,62265.0,237575.0
269,pge,2006-04-01,1,18.216,,108.0,,3.0,,111.0,
270,pge,2013-09-01,1,1660.2569999999996,20068.822,6430.0,58211.0,118.0,1758.0,6548.0,59969.0
271,pge,2014-09-01,1,226.731,3645.869,1028.0,7383.0,84.0,459.0,1112.0,7842.0
272,pge,2013-12-01,1,7870.458999999999,17330.216999999997,29399.0,46253.0,116.0,1402.0,29515.0,47655.0
273,pge,2012-10-01,1,14308.386999999999,89149.845,60145.0,329243.0,8152.0,20580.0,68297.0,349823.0
274,pge,2012-07-01,1,13658.476,82100.97200000001,60616.0,301955.0,9442.0,20295.0,70058.0,322250.0
275,pge,2014-02-01,1,195.98500000000004,9030.304,856.0,14917.0,101.0,1168.0,957.0,16085.0
276,pge,2013-08-01,1,3237.288,23306.110000000004,15233.0,73444.0,110.0,1868.0,15343.0,75312.0
277,pge,2013-01-01,1,10424.107999999998,51810.327,28070.0,171522.0,748.0,3788.0,28818.0,175310.0
278,pge,2013-04-01,1,1709.9269999999997,34215.019,5514.0,114140.0,302.0,2459.0,5816.0,116599.0
279,pge,2014-10-01,1,257.87800000000004,3419.138,1131.0,6355.0,60.0,375.0,1191.0,6730.0
280,pge,2014-04-01,1,243.79700000000003,8608.817000000001,1144.0,13062.0,154.0,1015.0,1298.0,14077.0
281,pge,2013-07-01,1,1973.081,25279.191000000003,9181.0,82625.0,80.0,1948.0,9261.0,84573.0
282,pge,2014-07-01,1,4022.948000000001,7926.6810000000005,971.0,9760.0,230.0,752.0,1201.0,10512.0
283,pge,2014-06-01,1,145.84199999999998,8072.522999999999,674.0,10434.0,37.0,789.0,711.0,11223.0
284,pge,2013-10-01,1,456.60499999999996,18408.565,2262.0,51781.0,100.0,1640.0,2362.0,53421.0
285,pge,2013-06-01,1,3598.314,28877.504999999997,11447.0,94072.0,104.0,2052.0,11551.0,96124.0
286,pge,2013-03-01,1,1260.775,35475.793999999994,6036.0,120176.0,174.0,2633.0,6210.0,122809.0
287,pge,2014-05-01,1,292.49700000000007,8365.02,1484.0,11918.0,72.0,861.0,1556.0,12779.0
288,pge,2013-05-01,1,3627.587,32505.091999999997,14554.0,108626.0,105.0,2157.0,14659.0,110783.0
289,pge,2014-01-01,1,429.4539999999999,9459.758,1937.0,16854.0,118.0,1286.0,2055.0,18140.0
290,pge,2013-11-01,1,621.743,17951.960000000003,3266.0,49519.0,138.0,1540.0,3404.0,51059.0
291,pge,2014-12-01,1,150.84300000000002,3077.401,679.0,4859.0,104.0,295.0,783.0,5154.0
292,pge,2015-02-01,1,89.16199999999999,2799.288,383.0,3631.0,44.0,162.0,427.0,3793.0
293,pge,2014-11-01,1,83.85900000000001,3161.26,365.0,5224.0,20.0,315.0,385.0,5539.0
294,pge,2015-03-01,1,103.969,2710.126,455.0,3248.0,22.0,118.0,477.0,3366.0
295,pge,2015-04-01,1,140.84,2606.157,608.0,2793.0,30.0,96.0,638.0,2889.0
296,pge,2015-05-01,1,66.42199999999998,2465.317,286.0,2185.0,15.0,66.0,301.0,2251.0
297,pge,2015-06-01,1,11.469000000000001,2398.895,47.0,1899.0,3.0,51.0,50.0,1950.0
298,pge,2015-01-01,1,127.26999999999998,2926.5580000000004,549.0,4180.0,29.0,191.0,578.0,4371.0
299,pge,2014-03-01,1,225.50200000000004,8834.319,999.0,14061.0,52.0,1067.0,1051.0,15128.0
300,pge,2015-07-01,1,24.787999999999997,2387.426,108.0,1852.0,26.0,48.0,134.0,1900.0
301,pge,1984-08-01,1,810.0,,1.0,,,,,
302,pge,2015-09-01,1,100.0,2362.638,1.0,1744.0,,22.0,,1766.0
303,pge,2015-10-01,1,2.11,2262.638,10.0,1743.0,10.0,22.0,20.0,1765.0
304,pge,2016-02-01,1,390.528,2260.5280000000002,1728.0,1733.0,12.0,12.0,1740.0,1745.0
305,pge,2016-09-01,1,1840.0,1870.0,4.0,5.0,,,,
