,iou,month_year,constant,size_comp,size_conc,gen_q_comp,gen_q_conc,inv_q_comp,inv_q_conc,q_comp,q_conc
117,sce,2006-11-01,1,5.408163265306122,73.0612244897959,1.0,9.0,1.0,9.0,2.0,18.0
118,sce,2015-04-01,1,123.46938775510203,1801.0204081632653,12.0,305.0,60.0,440.0,72.0,745.0
119,sce,2011-09-01,1,63.36734693877552,37360.06122448979,30.0,8017.0,10.0,8079.0,40.0,16096.0
120,sce,2010-06-01,1,15.102040816326532,3309.367346938776,2.0,889.0,3.0,1661.0,5.0,2550.0
121,sce,2010-01-01,1,14.795918367346937,2217.8979591836737,5.0,3851.0,5.0,1434.0,10.0,5285.0
122,sce,2015-10-01,1,6.224489795918368,40.40816326530613,13.0,14.0,19.0,22.0,32.0,36.0
123,sce,2011-03-01,1,73.57142857142858,10341.33673469388,88.0,1910.0,15.0,2642.0,103.0,4552.0
124,sce,2011-05-01,1,63.06122448979592,16866.642857142855,8.0,3459.0,27.0,4535.0,35.0,7994.0
125,sce,2011-10-01,1,15.714285714285714,41151.08163265306,4.0,8404.0,6.0,10015.0,10.0,18419.0
126,sce,2009-03-01,1,14.183673469387754,1252.8979591836735,3.0,519.0,3.0,1027.0,6.0,1546.0
127,sce,2010-04-01,1,513.6734693877551,3608.357142857143,2988.0,3826.0,22.0,1599.0,3010.0,5425.0
128,sce,2008-05-01,1,28.46938775510204,1176.857142857143,3.0,1646.0,4.0,127.0,7.0,1773.0
129,sce,2010-08-01,1,53.061224489795926,3746.948979591837,6.0,1003.0,10.0,1751.0,16.0,2754.0
130,sce,2010-12-01,1,150.81632653061223,5043.581632653062,69.0,1411.0,26.0,2099.0,95.0,3510.0
131,sce,2009-10-01,1,939.387755102041,4035.142857142858,4.0,888.0,4.0,1350.0,8.0,2238.0
132,sce,2010-07-01,1,28.46938775510204,3584.8061224489793,3.0,929.0,3.0,1672.0,6.0,2601.0
133,sce,2008-08-01,1,23.77551020408163,1795.2244897959185,3.0,1809.0,3.0,977.0,6.0,2786.0
134,sce,2008-12-01,1,18.57142857142857,1759.6530612244899,2.0,1834.0,2.0,1004.0,4.0,2838.0
135,sce,2006-10-01,1,10.20408163265306,83.26530612244895,1.0,10.0,1.0,10.0,2.0,20.0
136,sce,2009-09-01,1,9.183673469387756,4005.4489795918366,33.0,905.0,2.0,1312.0,35.0,2217.0
137,sce,2008-06-01,1,11.122448979591836,1184.1020408163267,2.0,1649.0,2.0,129.0,4.0,1778.0
138,sce,2007-10-01,1,29.795918367346935,141.51020408163262,30.0,62.0,4.0,37.0,34.0,99.0
139,sce,2007-02-01,1,9.285714285714285,76.93877551020407,1.0,9.0,1.0,9.0,2.0,18.0
140,sce,2009-01-01,1,15.204081632653061,1783.5306122448978,2.0,1959.0,3.0,1010.0,5.0,2969.0
141,sce,2010-10-01,1,33.77551020408164,4642.561224489796,20.0,1354.0,6.0,1985.0,26.0,3339.0
142,sce,2010-09-01,1,59.591836734693885,3871.336734693877,37.0,1096.0,8.0,1781.0,45.0,2877.0
143,sce,2011-01-01,1,44.69387755102041,5650.41836734694,6.0,1448.0,6.0,2185.0,12.0,3633.0
144,sce,2007-04-01,1,38.06122448979591,87.55102040816325,4.0,10.0,4.0,11.0,8.0,21.0
145,sce,2009-12-01,1,1435.1020408163263,3644.530612244898,6.0,3853.0,7.0,1421.0,13.0,5274.0
146,sce,2007-01-01,1,18.57142857142857,95.51020408163262,2.0,11.0,2.0,11.0,4.0,22.0
147,sce,2009-02-01,1,612.8571428571429,1823.9183673469392,1552.0,2058.0,5.0,1018.0,1557.0,3076.0
148,sce,2011-02-01,1,52.44897959183674,6383.887755102041,5.0,1563.0,8.0,2312.0,13.0,3875.0
149,sce,2007-09-01,1,18.57142857142857,111.53061224489795,2.0,31.0,2.0,31.0,4.0,62.0
150,sce,2009-05-01,1,9.285714285714285,1266.3673469387757,1.0,551.0,1.0,1056.0,2.0,1607.0
151,sce,2009-11-01,1,5.5102040816326525,3598.7142857142853,2.0,3847.0,2.0,1366.0,4.0,5213.0
152,sce,2009-08-01,1,41.12244897959184,2093.510204081633,4.0,902.0,4.0,1307.0,8.0,2209.0
153,sce,2007-11-01,1,18.57142857142857,126.40816326530611,2.0,34.0,2.0,35.0,4.0,69.0
154,sce,2009-06-01,1,31.224489795918366,1371.6734693877552,4.0,670.0,4.0,1073.0,8.0,1743.0
155,sce,2008-11-01,1,143.16326530612247,1895.775510204082,1.0,1831.0,5.0,1005.0,6.0,2836.0
156,sce,2007-12-01,1,18.57142857142857,798.6938775510205,2.0,1635.0,2.0,88.0,4.0,1723.0
157,sce,2008-01-01,1,18.775510204081634,1090.734693877551,2.0,1637.0,2.0,112.0,4.0,1749.0
158,sce,2010-03-01,1,35.30612244897959,3388.969387755102,80.0,3850.0,5.0,1569.0,85.0,5419.0
159,sce,2009-07-01,1,12.755102040816325,1795.9591836734696,3.0,675.0,3.0,1079.0,6.0,1754.0
160,sce,2010-11-01,1,6.224489795918368,4676.336734693878,16.0,1343.0,3.0,1992.0,19.0,3335.0
161,sce,2008-04-01,1,20.408163265306122,1197.2653061224491,3.0,1649.0,3.0,130.0,6.0,1779.0
162,sce,2007-06-01,1,18.57142857142857,40.61224489795919,2.0,6.0,2.0,6.0,4.0,12.0
163,sce,2007-03-01,1,9.285714285714285,76.93877551020407,1.0,9.0,1.0,9.0,2.0,18.0
164,sce,2010-02-01,1,4.183673469387755,2916.724489795918,17.0,3860.0,1.0,1475.0,18.0,5335.0
165,sce,2009-04-01,1,19.69387755102041,1262.8979591836735,1.0,545.0,4.0,1053.0,5.0,1598.0
166,sce,2008-07-01,1,18.57142857142857,1340.2244897959185,2.0,1650.0,2.0,137.0,4.0,1787.0
167,sce,2006-12-01,1,10.20408163265306,77.85714285714285,1.0,9.0,1.0,9.0,2.0,18.0
168,sce,2011-11-01,1,373.4693877551021,49109.41836734694,87.0,9226.0,37.0,13262.0,124.0,22488.0
169,sce,2015-07-01,1,191.12244897959187,1416.122448979592,4.0,219.0,33.0,202.0,37.0,421.0
170,sce,2015-06-01,1,106.73469387755102,1522.8571428571427,10.0,229.0,39.0,241.0,49.0,470.0
171,sce,2015-09-01,1,695.8163265306123,736.2244897959183,3.0,17.0,6.0,28.0,9.0,45.0
172,sce,2015-11-01,1,34.18367346938776,34.18367346938776,1.0,1.0,3.0,3.0,4.0,4.0
173,pge,2017-07-01,1,30.0,30.0,1.0,1.0,,,,
174,pge,2014-08-01,1,257.86400000000003,3903.733,1406.0,8789.0,63.0,522.0,1469.0,9311.0
175,pge,2007-06-01,1,2113.999,25925.859,13103.0,161698.0,560.0,2563.0,13663.0,164261.0
